F_0,F_1,F_2,Points_Magnitude
150.3341379118,14.7118018998,134.0425820730,1.4076722860
22.6808244322,51.8329310960,133.9876533986,1.4892039299
37.7667934255,-0.0032603157,133.9273325854,1.3514393568
-28.4948773898,-0.0249361554,133.9205591127,1.3435822725
123.7141467216,17.6360308852,133.8779729455,1.4155926704
148.9097799555,58.7481734910,133.6901351642,1.4715143442
-183.2872189084,15.4905125408,133.6642677778,1.3790961504
-191.7165627890,23.7973483656,133.6267387208,1.3920150995
294.1935383908,-309.4301012006,133.5144799081,1.6330457926
22.1182512346,1.2765905958,133.4028132444,1.3754581213
-68.1990933798,-107.2325701371,133.3495135077,1.5641959906
-125.3852217358,-138.3029259683,133.2789383452,1.5850909948
130.3010751845,13.8217846204,132.8552525980,1.4079904556
26.5768844043,-0.0062995658,132.7199221697,1.3237897158
109.1605974295,53.9446689467,132.5336715027,1.4791479111
-144.3632340941,40.8801198248,132.4601580358,1.4317730665
-152.4221758690,43.4251504812,132.3995194410,1.4381233454
-181.0317149423,-183.6490646307,132.3869819797,1.5993436575
31.9581763506,-95.0852744730,132.2603633343,1.5583178997
-139.8218344707,33.7474742396,132.2031019495,1.4122822285
-6.5974139993,1.8514363259,132.1289402706,1.3720320463
-6.3709113333,-0.0079916439,132.0977102595,1.2664895058
-35.9100617888,-95.2348602216,131.8848019885,1.5617017746
-17.2982986946,-0.0295460759,131.7729390740,1.3446952105
128.3573984387,37.1130154878,131.7698091114,1.4453341961
-148.8072101751,34.0893098626,131.7380050180,1.4019411802
-90.6043502668,51.9114956170,131.5537446239,1.4646930695
-17.1913769830,-0.0190459043,131.4949789559,1.2915973663
51.9478270168,49.9203660520,131.4062516205,1.4824893475
-93.5238858518,-117.4078095849,131.3455577476,1.5698006153
-100.6177772132,-0.2578851625,131.2494887743,1.3459451199
